=== STDOUT ===
Parseo exitoso
SequentialFile scanAll
id	dni	nombre	edad	genero	altura	
----------------------------------------
1	10000000	Fernando	30	M	1.560000	
2	10000001	Lidia	24	F	1.660000	
3	10000002	Claudia	50	F	1.630000	
4	10000003	Victor	33	M	1.600000	
5	10000004	Teresa	18	F	1.770000	
6	10000005	Melissa	46	F	1.740000	
7	10000006	Diana	33	F	1.770000	
8	10000007	Luis	27	M	1.780000	
9	10000008	Stefany	46	F	1.600000	
10	10000009	Silvia	49	F	1.560000	
11	10000010	Luisa	19	F	1.700000	
12	10000011	Edgar	30	M	1.790000	
13	10000012	Rosa	29	F	1.810000	
14	10000013	Melany	24	F	1.650000	
15	10000014	Pedro	35	M	1.840000	
16	10000015	Claudia	43	F	1.680000	
17	10000016	Irene	38	F	1.660000	
18	10000017	Andres	36	M	1.700000	
19	10000018	Melissa	21	F	1.580000	
20	10000019	Arturo	48	M	1.700000	
21	10000020	Daniel	34	M	1.710000	
22	10000021	Arturo	26	M	1.720000	
23	10000022	Noelia	45	F	1.620000	
24	10000023	Camila	37	F	1.750000	
25	10000024	Felipe	45	M	1.680000	
26	10000025	Beatriz	27	F	1.830000	
27	10000026	Cesar	49	M	1.660000	
28	10000027	Valeria	30	F	1.820000	
29	10000028	Nicolas	42	M	1.820000	
30	10000029	Kevin	20	M	1.830000	
31	10000030	Patricia	43	F	1.610000	
32	10000031	Paola	25	F	1.750000	
33	10000032	Guillermo	50	M	1.620000	
34	10000033	Sandra	19	F	1.610000	
35	10000034	Axel	35	M	1.560000	
36	10000035	Melissa	38	F	1.820000	
37	10000036	Claudia	43	F	1.810000	
38	10000037	Diana	18	F	1.620000	
39	10000038	Maria	48	F	1.560000	
40	10000039	Bruno	43	M	1.670000	
41	10000040	Julio	36	M	1.690000	
42	10000041	Adriana	43	F	1.590000	
43	10000042	Alvaro	40	M	1.590000	
44	10000043	Renato	20	M	1.730000	
45	10000044	Victor	49	M	1.590000	
46	10000045	Camila	28	F	1.760000	
47	10000046	Cecilia	26	F	1.670000	
48	10000047	Julia	40	F	1.560000	
Total: 48 registros

Tiempo de ejecuciÃ³n: 2 ms

=== STDERR ===
